session_date,market_open_utc,market_close_utc,expected_cash_minutes,expected_five_minute_bars
2024-12-30,2024-12-30T14:30:00+0000,2024-12-30T21:00:00+0000,390,78
2024-12-31,2024-12-31T14:30:00+0000,2024-12-31T21:00:00+0000,390,78
2025-01-02,2025-01-02T14:30:00+0000,2025-01-02T21:00:00+0000,390,78
2025-01-03,2025-01-03T14:30:00+0000,2025-01-03T21:00:00+0000,390,78
2025-01-06,2025-01-06T14:30:00+0000,2025-01-06T21:00:00+0000,390,78
2025-01-07,2025-01-07T14:30:00+0000,2025-01-07T21:00:00+0000,390,78
2025-01-08,2025-01-08T14:30:00+0000,2025-01-08T21:00:00+0000,390,78
2025-01-10,2025-01-10T14:30:00+0000,2025-01-10T21:00:00+0000,390,78
2025-01-13,2025-01-13T14:30:00+0000,2025-01-13T21:00:00+0000,390,78
2025-01-14,2025-01-14T14:30:00+0000,2025-01-14T21:00:00+0000,390,78
2025-01-15,2025-01-15T14:30:00+0000,2025-01-15T21:00:00+0000,390,78
2025-01-16,2025-01-16T14:30:00+0000,2025-01-16T21:00:00+0000,390,78
2025-01-17,2025-01-17T14:30:00+0000,2025-01-17T21:00:00+0000,390,78
2025-01-21,2025-01-21T14:30:00+0000,2025-01-21T21:00:00+0000,390,78
2025-01-22,2025-01-22T14:30:00+0000,2025-01-22T21:00:00+0000,390,78
2025-01-23,2025-01-23T14:30:00+0000,2025-01-23T21:00:00+0000,390,78
2025-01-24,2025-01-24T14:30:00+0000,2025-01-24T21:00:00+0000,390,78
2025-01-27,2025-01-27T14:30:00+0000,2025-01-27T21:00:00+0000,390,78
2025-01-28,2025-01-28T14:30:00+0000,2025-01-28T21:00:00+0000,390,78
2025-01-29,2025-01-29T14:30:00+0000,2025-01-29T21:00:00+0000,390,78
2025-01-30,2025-01-30T14:30:00+0000,2025-01-30T21:00:00+0000,390,78
2025-01-31,2025-01-31T14:30:00+0000,2025-01-31T21:00:00+0000,390,78
2025-02-03,2025-02-03T14:30:00+0000,2025-02-03T21:00:00+0000,390,78
2025-02-04,2025-02-04T14:30:00+0000,2025-02-04T21:00:00+0000,390,78
2025-02-05,2025-02-05T14:30:00+0000,2025-02-05T21:00:00+0000,390,78
2025-02-06,2025-02-06T14:30:00+0000,2025-02-06T21:00:00+0000,390,78
2025-02-07,2025-02-07T14:30:00+0000,2025-02-07T21:00:00+0000,390,78
2025-02-10,2025-02-10T14:30:00+0000,2025-02-10T21:00:00+0000,390,78
2025-02-11,2025-02-11T14:30:00+0000,2025-02-11T21:00:00+0000,390,78
2025-02-12,2025-02-12T14:30:00+0000,2025-02-12T21:00:00+0000,390,78
2025-02-13,2025-02-13T14:30:00+0000,2025-02-13T21:00:00+0000,390,78
2025-02-14,2025-02-14T14:30:00+0000,2025-02-14T21:00:00+0000,390,78
2025-02-18,2025-02-18T14:30:00+0000,2025-02-18T21:00:00+0000,390,78
2025-02-19,2025-02-19T14:30:00+0000,2025-02-19T21:00:00+0000,390,78
2025-02-20,2025-02-20T14:30:00+0000,2025-02-20T21:00:00+0000,390,78
2025-02-21,2025-02-21T14:30:00+0000,2025-02-21T21:00:00+0000,390,78
2025-02-24,2025-02-24T14:30:00+0000,2025-02-24T21:00:00+0000,390,78
2025-02-25,2025-02-25T14:30:00+0000,2025-02-25T21:00:00+0000,390,78
2025-02-26,2025-02-26T14:30:00+0000,2025-02-26T21:00:00+0000,390,78
2025-02-27,2025-02-27T14:30:00+0000,2025-02-27T21:00:00+0000,390,78
2025-02-28,2025-02-28T14:30:00+0000,2025-02-28T21:00:00+0000,390,78
2025-03-03,2025-03-03T14:30:00+0000,2025-03-03T21:00:00+0000,390,78
2025-03-04,2025-03-04T14:30:00+0000,2025-03-04T21:00:00+0000,390,78
2025-03-05,2025-03-05T14:30:00+0000,2025-03-05T21:00:00+0000,390,78
2025-03-06,2025-03-06T14:30:00+0000,2025-03-06T21:00:00+0000,390,78
2025-03-07,2025-03-07T14:30:00+0000,2025-03-07T21:00:00+0000,390,78
2025-03-10,2025-03-10T13:30:00+0000,2025-03-10T20:00:00+0000,390,78
2025-03-11,2025-03-11T13:30:00+0000,2025-03-11T20:00:00+0000,390,78
2025-03-12,2025-03-12T13:30:00+0000,2025-03-12T20:00:00+0000,390,78
2025-03-13,2025-03-13T13:30:00+0000,2025-03-13T20:00:00+0000,390,78
2025-03-14,2025-03-14T13:30:00+0000,2025-03-14T20:00:00+0000,390,78
2025-03-17,2025-03-17T13:30:00+0000,2025-03-17T20:00:00+0000,390,78
2025-03-18,2025-03-18T13:30:00+0000,2025-03-18T20:00:00+0000,390,78
2025-03-19,2025-03-19T13:30:00+0000,2025-03-19T20:00:00+0000,390,78
2025-03-20,2025-03-20T13:30:00+0000,2025-03-20T20:00:00+0000,390,78
2025-03-21,2025-03-21T13:30:00+0000,2025-03-21T20:00:00+0000,390,78
2025-03-24,2025-03-24T13:30:00+0000,2025-03-24T20:00:00+0000,390,78
2025-03-25,2025-03-25T13:30:00+0000,2025-03-25T20:00:00+0000,390,78
2025-03-26,2025-03-26T13:30:00+0000,2025-03-26T20:00:00+0000,390,78
2025-03-27,2025-03-27T13:30:00+0000,2025-03-27T20:00:00+0000,390,78
2025-03-28,2025-03-28T13:30:00+0000,2025-03-28T20:00:00+0000,390,78
2025-03-31,2025-03-31T13:30:00+0000,2025-03-31T20:00:00+0000,390,78
2025-04-01,2025-04-01T13:30:00+0000,2025-04-01T20:00:00+0000,390,78
2025-04-02,2025-04-02T13:30:00+0000,2025-04-02T20:00:00+0000,390,78
2025-04-03,2025-04-03T13:30:00+0000,2025-04-03T20:00:00+0000,390,78
2025-04-04,2025-04-04T13:30:00+0000,2025-04-04T20:00:00+0000,390,78
2025-04-07,2025-04-07T13:30:00+0000,2025-04-07T20:00:00+0000,390,78
2025-04-08,2025-04-08T13:30:00+0000,2025-04-08T20:00:00+0000,390,78
2025-04-09,2025-04-09T13:30:00+0000,2025-04-09T20:00:00+0000,390,78
2025-04-10,2025-04-10T13:30:00+0000,2025-04-10T20:00:00+0000,390,78
2025-04-11,2025-04-11T13:30:00+0000,2025-04-11T20:00:00+0000,390,78
2025-04-14,2025-04-14T13:30:00+0000,2025-04-14T20:00:00+0000,390,78
2025-04-15,2025-04-15T13:30:00+0000,2025-04-15T20:00:00+0000,390,78
2025-04-16,2025-04-16T13:30:00+0000,2025-04-16T20:00:00+0000,390,78
2025-04-17,2025-04-17T13:30:00+0000,2025-04-17T20:00:00+0000,390,78
2025-04-21,2025-04-21T13:30:00+0000,2025-04-21T20:00:00+0000,390,78
2025-04-22,2025-04-22T13:30:00+0000,2025-04-22T20:00:00+0000,390,78
2025-04-23,2025-04-23T13:30:00+0000,2025-04-23T20:00:00+0000,390,78
2025-04-24,2025-04-24T13:30:00+0000,2025-04-24T20:00:00+0000,390,78
2025-04-25,2025-04-25T13:30:00+0000,2025-04-25T20:00:00+0000,390,78
2025-04-28,2025-04-28T13:30:00+0000,2025-04-28T20:00:00+0000,390,78
2025-04-29,2025-04-29T13:30:00+0000,2025-04-29T20:00:00+0000,390,78
2025-04-30,2025-04-30T13:30:00+0000,2025-04-30T20:00:00+0000,390,78
2025-05-01,2025-05-01T13:30:00+0000,2025-05-01T20:00:00+0000,390,78
2025-05-02,2025-05-02T13:30:00+0000,2025-05-02T20:00:00+0000,390,78
2025-05-05,2025-05-05T13:30:00+0000,2025-05-05T20:00:00+0000,390,78
2025-05-06,2025-05-06T13:30:00+0000,2025-05-06T20:00:00+0000,390,78
2025-05-07,2025-05-07T13:30:00+0000,2025-05-07T20:00:00+0000,390,78
2025-05-08,2025-05-08T13:30:00+0000,2025-05-08T20:00:00+0000,390,78
2025-05-09,2025-05-09T13:30:00+0000,2025-05-09T20:00:00+0000,390,78
2025-05-12,2025-05-12T13:30:00+0000,2025-05-12T20:00:00+0000,390,78
2025-05-13,2025-05-13T13:30:00+0000,2025-05-13T20:00:00+0000,390,78
2025-05-14,2025-05-14T13:30:00+0000,2025-05-14T20:00:00+0000,390,78
2025-05-15,2025-05-15T13:30:00+0000,2025-05-15T20:00:00+0000,390,78
2025-05-16,2025-05-16T13:30:00+0000,2025-05-16T20:00:00+0000,390,78
2025-05-19,2025-05-19T13:30:00+0000,2025-05-19T20:00:00+0000,390,78
2025-05-20,2025-05-20T13:30:00+0000,2025-05-20T20:00:00+0000,390,78
2025-05-21,2025-05-21T13:30:00+0000,2025-05-21T20:00:00+0000,390,78
2025-05-22,2025-05-22T13:30:00+0000,2025-05-22T20:00:00+0000,390,78
2025-05-23,2025-05-23T13:30:00+0000,2025-05-23T20:00:00+0000,390,78
2025-05-27,2025-05-27T13:30:00+0000,2025-05-27T20:00:00+0000,390,78
2025-05-28,2025-05-28T13:30:00+0000,2025-05-28T20:00:00+0000,390,78
2025-05-29,2025-05-29T13:30:00+0000,2025-05-29T20:00:00+0000,390,78
2025-05-30,2025-05-30T13:30:00+0000,2025-05-30T20:00:00+0000,390,78
2025-06-02,2025-06-02T13:30:00+0000,2025-06-02T20:00:00+0000,390,78
2025-06-03,2025-06-03T13:30:00+0000,2025-06-03T20:00:00+0000,390,78
2025-06-04,2025-06-04T13:30:00+0000,2025-06-04T20:00:00+0000,390,78
2025-06-05,2025-06-05T13:30:00+0000,2025-06-05T20:00:00+0000,390,78
2025-06-06,2025-06-06T13:30:00+0000,2025-06-06T20:00:00+0000,390,78
2025-06-09,2025-06-09T13:30:00+0000,2025-06-09T20:00:00+0000,390,78
2025-06-10,2025-06-10T13:30:00+0000,2025-06-10T20:00:00+0000,390,78
2025-06-11,2025-06-11T13:30:00+0000,2025-06-11T20:00:00+0000,390,78
2025-06-12,2025-06-12T13:30:00+0000,2025-06-12T20:00:00+0000,390,78
2025-06-13,2025-06-13T13:30:00+0000,2025-06-13T20:00:00+0000,390,78
2025-06-16,2025-06-16T13:30:00+0000,2025-06-16T20:00:00+0000,390,78
2025-06-17,2025-06-17T13:30:00+0000,2025-06-17T20:00:00+0000,390,78
2025-06-18,2025-06-18T13:30:00+0000,2025-06-18T20:00:00+0000,390,78
2025-06-20,2025-06-20T13:30:00+0000,2025-06-20T20:00:00+0000,390,78
2025-06-23,2025-06-23T13:30:00+0000,2025-06-23T20:00:00+0000,390,78
2025-06-24,2025-06-24T13:30:00+0000,2025-06-24T20:00:00+0000,390,78
2025-06-25,2025-06-25T13:30:00+0000,2025-06-25T20:00:00+0000,390,78
2025-06-26,2025-06-26T13:30:00+0000,2025-06-26T20:00:00+0000,390,78
2025-06-27,2025-06-27T13:30:00+0000,2025-06-27T20:00:00+0000,390,78
2025-06-30,2025-06-30T13:30:00+0000,2025-06-30T20:00:00+0000,390,78
2025-07-01,2025-07-01T13:30:00+0000,2025-07-01T20:00:00+0000,390,78
2025-07-02,2025-07-02T13:30:00+0000,2025-07-02T20:00:00+0000,390,78
2025-07-07,2025-07-07T13:30:00+0000,2025-07-07T20:00:00+0000,390,78
2025-07-08,2025-07-08T13:30:00+0000,2025-07-08T20:00:00+0000,390,78
2025-07-09,2025-07-09T13:30:00+0000,2025-07-09T20:00:00+0000,390,78
2025-07-10,2025-07-10T13:30:00+0000,2025-07-10T20:00:00+0000,390,78
2025-07-11,2025-07-11T13:30:00+0000,2025-07-11T20:00:00+0000,390,78
2025-07-14,2025-07-14T13:30:00+0000,2025-07-14T20:00:00+0000,390,78
2025-07-15,2025-07-15T13:30:00+0000,2025-07-15T20:00:00+0000,390,78
2025-07-16,2025-07-16T13:30:00+0000,2025-07-16T20:00:00+0000,390,78
2025-07-17,2025-07-17T13:30:00+0000,2025-07-17T20:00:00+0000,390,78
2025-07-18,2025-07-18T13:30:00+0000,2025-07-18T20:00:00+0000,390,78
2025-07-21,2025-07-21T13:30:00+0000,2025-07-21T20:00:00+0000,390,78
2025-07-22,2025-07-22T13:30:00+0000,2025-07-22T20:00:00+0000,390,78
2025-07-23,2025-07-23T13:30:00+0000,2025-07-23T20:00:00+0000,390,78
2025-07-24,2025-07-24T13:30:00+0000,2025-07-24T20:00:00+0000,390,78
2025-07-25,2025-07-25T13:30:00+0000,2025-07-25T20:00:00+0000,390,78
2025-07-28,2025-07-28T13:30:00+0000,2025-07-28T20:00:00+0000,390,78
2025-07-29,2025-07-29T13:30:00+0000,2025-07-29T20:00:00+0000,390,78
2025-07-30,2025-07-30T13:30:00+0000,2025-07-30T20:00:00+0000,390,78
2025-07-31,2025-07-31T13:30:00+0000,2025-07-31T20:00:00+0000,390,78
2025-08-01,2025-08-01T13:30:00+0000,2025-08-01T20:00:00+0000,390,78
2025-08-04,2025-08-04T13:30:00+0000,2025-08-04T20:00:00+0000,390,78
2025-08-05,2025-08-05T13:30:00+0000,2025-08-05T20:00:00+0000,390,78
2025-08-06,2025-08-06T13:30:00+0000,2025-08-06T20:00:00+0000,390,78
2025-08-07,2025-08-07T13:30:00+0000,2025-08-07T20:00:00+0000,390,78
2025-08-08,2025-08-08T13:30:00+0000,2025-08-08T20:00:00+0000,390,78
2025-08-11,2025-08-11T13:30:00+0000,2025-08-11T20:00:00+0000,390,78
2025-08-12,2025-08-12T13:30:00+0000,2025-08-12T20:00:00+0000,390,78
2025-08-13,2025-08-13T13:30:00+0000,2025-08-13T20:00:00+0000,390,78
2025-08-14,2025-08-14T13:30:00+0000,2025-08-14T20:00:00+0000,390,78
2025-08-15,2025-08-15T13:30:00+0000,2025-08-15T20:00:00+0000,390,78
2025-08-18,2025-08-18T13:30:00+0000,2025-08-18T20:00:00+0000,390,78
2025-08-19,2025-08-19T13:30:00+0000,2025-08-19T20:00:00+0000,390,78
2025-08-20,2025-08-20T13:30:00+0000,2025-08-20T20:00:00+0000,390,78
2025-08-21,2025-08-21T13:30:00+0000,2025-08-21T20:00:00+0000,390,78
2025-08-22,2025-08-22T13:30:00+0000,2025-08-22T20:00:00+0000,390,78
2025-08-25,2025-08-25T13:30:00+0000,2025-08-25T20:00:00+0000,390,78
2025-08-26,2025-08-26T13:30:00+0000,2025-08-26T20:00:00+0000,390,78
2025-08-27,2025-08-27T13:30:00+0000,2025-08-27T20:00:00+0000,390,78
2025-08-28,2025-08-28T13:30:00+0000,2025-08-28T20:00:00+0000,390,78
2025-08-29,2025-08-29T13:30:00+0000,2025-08-29T20:00:00+0000,390,78
2025-09-02,2025-09-02T13:30:00+0000,2025-09-02T20:00:00+0000,390,78
2025-09-03,2025-09-03T13:30:00+0000,2025-09-03T20:00:00+0000,390,78
2025-09-04,2025-09-04T13:30:00+0000,2025-09-04T20:00:00+0000,390,78
2025-09-05,2025-09-05T13:30:00+0000,2025-09-05T20:00:00+0000,390,78
2025-09-08,2025-09-08T13:30:00+0000,2025-09-08T20:00:00+0000,390,78
2025-09-09,2025-09-09T13:30:00+0000,2025-09-09T20:00:00+0000,390,78
2025-09-10,2025-09-10T13:30:00+0000,2025-09-10T20:00:00+0000,390,78
2025-09-11,2025-09-11T13:30:00+0000,2025-09-11T20:00:00+0000,390,78
2025-09-12,2025-09-12T13:30:00+0000,2025-09-12T20:00:00+0000,390,78
2025-09-15,2025-09-15T13:30:00+0000,2025-09-15T20:00:00+0000,390,78
2025-09-16,2025-09-16T13:30:00+0000,2025-09-16T20:00:00+0000,390,78
2025-09-17,2025-09-17T13:30:00+0000,2025-09-17T20:00:00+0000,390,78
2025-09-18,2025-09-18T13:30:00+0000,2025-09-18T20:00:00+0000,390,78
2025-09-19,2025-09-19T13:30:00+0000,2025-09-19T20:00:00+0000,390,78
2025-09-22,2025-09-22T13:30:00+0000,2025-09-22T20:00:00+0000,390,78
2025-09-23,2025-09-23T13:30:00+0000,2025-09-23T20:00:00+0000,390,78
2025-09-24,2025-09-24T13:30:00+0000,2025-09-24T20:00:00+0000,390,78
2025-09-25,2025-09-25T13:30:00+0000,2025-09-25T20:00:00+0000,390,78
2025-09-26,2025-09-26T13:30:00+0000,2025-09-26T20:00:00+0000,390,78
2025-09-29,2025-09-29T13:30:00+0000,2025-09-29T20:00:00+0000,390,78
2025-09-30,2025-09-30T13:30:00+0000,2025-09-30T20:00:00+0000,390,78
2025-10-01,2025-10-01T13:30:00+0000,2025-10-01T20:00:00+0000,390,78
2025-10-02,2025-10-02T13:30:00+0000,2025-10-02T20:00:00+0000,390,78
2025-10-03,2025-10-03T13:30:00+0000,2025-10-03T20:00:00+0000,390,78
2025-10-06,2025-10-06T13:30:00+0000,2025-10-06T20:00:00+0000,390,78
2025-10-07,2025-10-07T13:30:00+0000,2025-10-07T20:00:00+0000,390,78
2025-10-08,2025-10-08T13:30:00+0000,2025-10-08T20:00:00+0000,390,78
2025-10-09,2025-10-09T13:30:00+0000,2025-10-09T20:00:00+0000,390,78
2025-10-10,2025-10-10T13:30:00+0000,2025-10-10T20:00:00+0000,390,78
2025-10-13,2025-10-13T13:30:00+0000,2025-10-13T20:00:00+0000,390,78
2025-10-14,2025-10-14T13:30:00+0000,2025-10-14T20:00:00+0000,390,78
2025-10-15,2025-10-15T13:30:00+0000,2025-10-15T20:00:00+0000,390,78
2025-10-16,2025-10-16T13:30:00+0000,2025-10-16T20:00:00+0000,390,78
2025-10-17,2025-10-17T13:30:00+0000,2025-10-17T20:00:00+0000,390,78
2025-10-20,2025-10-20T13:30:00+0000,2025-10-20T20:00:00+0000,390,78
2025-10-21,2025-10-21T13:30:00+0000,2025-10-21T20:00:00+0000,390,78
2025-10-22,2025-10-22T13:30:00+0000,2025-10-22T20:00:00+0000,390,78
2025-10-23,2025-10-23T13:30:00+0000,2025-10-23T20:00:00+0000,390,78
2025-10-24,2025-10-24T13:30:00+0000,2025-10-24T20:00:00+0000,390,78
2025-10-27,2025-10-27T13:30:00+0000,2025-10-27T20:00:00+0000,390,78
2025-10-28,2025-10-28T13:30:00+0000,2025-10-28T20:00:00+0000,390,78
2025-10-29,2025-10-29T13:30:00+0000,2025-10-29T20:00:00+0000,390,78
2025-10-30,2025-10-30T13:30:00+0000,2025-10-30T20:00:00+0000,390,78
2025-10-31,2025-10-31T13:30:00+0000,2025-10-31T20:00:00+0000,390,78
2025-11-03,2025-11-03T14:30:00+0000,2025-11-03T21:00:00+0000,390,78
2025-11-04,2025-11-04T14:30:00+0000,2025-11-04T21:00:00+0000,390,78
2025-11-05,2025-11-05T14:30:00+0000,2025-11-05T21:00:00+0000,390,78
2025-11-06,2025-11-06T14:30:00+0000,2025-11-06T21:00:00+0000,390,78
2025-11-07,2025-11-07T14:30:00+0000,2025-11-07T21:00:00+0000,390,78
2025-11-10,2025-11-10T14:30:00+0000,2025-11-10T21:00:00+0000,390,78
2025-11-11,2025-11-11T14:30:00+0000,2025-11-11T21:00:00+0000,390,78
2025-11-12,2025-11-12T14:30:00+0000,2025-11-12T21:00:00+0000,390,78
2025-11-13,2025-11-13T14:30:00+0000,2025-11-13T21:00:00+0000,390,78
2025-11-14,2025-11-14T14:30:00+0000,2025-11-14T21:00:00+0000,390,78
2025-11-17,2025-11-17T14:30:00+0000,2025-11-17T21:00:00+0000,390,78
2025-11-18,2025-11-18T14:30:00+0000,2025-11-18T21:00:00+0000,390,78
2025-11-19,2025-11-19T14:30:00+0000,2025-11-19T21:00:00+0000,390,78
2025-11-20,2025-11-20T14:30:00+0000,2025-11-20T21:00:00+0000,390,78
2025-11-21,2025-11-21T14:30:00+0000,2025-11-21T21:00:00+0000,390,78
2025-11-24,2025-11-24T14:30:00+0000,2025-11-24T21:00:00+0000,390,78
2025-11-25,2025-11-25T14:30:00+0000,2025-11-25T21:00:00+0000,390,78
2025-11-26,2025-11-26T14:30:00+0000,2025-11-26T21:00:00+0000,390,78
2025-12-01,2025-12-01T14:30:00+0000,2025-12-01T21:00:00+0000,390,78
2025-12-02,2025-12-02T14:30:00+0000,2025-12-02T21:00:00+0000,390,78
2025-12-03,2025-12-03T14:30:00+0000,2025-12-03T21:00:00+0000,390,78
2025-12-04,2025-12-04T14:30:00+0000,2025-12-04T21:00:00+0000,390,78
2025-12-05,2025-12-05T14:30:00+0000,2025-12-05T21:00:00+0000,390,78
2025-12-08,2025-12-08T14:30:00+0000,2025-12-08T21:00:00+0000,390,78
2025-12-09,2025-12-09T14:30:00+0000,2025-12-09T21:00:00+0000,390,78
2025-12-10,2025-12-10T14:30:00+0000,2025-12-10T21:00:00+0000,390,78
2025-12-11,2025-12-11T14:30:00+0000,2025-12-11T21:00:00+0000,390,78
2025-12-12,2025-12-12T14:30:00+0000,2025-12-12T21:00:00+0000,390,78
2025-12-15,2025-12-15T14:30:00+0000,2025-12-15T21:00:00+0000,390,78
2025-12-16,2025-12-16T14:30:00+0000,2025-12-16T21:00:00+0000,390,78
2025-12-17,2025-12-17T14:30:00+0000,2025-12-17T21:00:00+0000,390,78
2025-12-18,2025-12-18T14:30:00+0000,2025-12-18T21:00:00+0000,390,78
2025-12-19,2025-12-19T14:30:00+0000,2025-12-19T21:00:00+0000,390,78
2025-12-22,2025-12-22T14:30:00+0000,2025-12-22T21:00:00+0000,390,78
2025-12-23,2025-12-23T14:30:00+0000,2025-12-23T21:00:00+0000,390,78
2025-12-26,2025-12-26T14:30:00+0000,2025-12-26T21:00:00+0000,390,78
2025-12-29,2025-12-29T14:30:00+0000,2025-12-29T21:00:00+0000,390,78
2025-12-30,2025-12-30T14:30:00+0000,2025-12-30T21:00:00+0000,390,78
2025-12-31,2025-12-31T14:30:00+0000,2025-12-31T21:00:00+0000,390,78
